Timestamp,How would you rate your overall satisfaction with the Summer Academy this week?,How well are the tutorials paced?,What track are you in?,,How well is the schedule paced?,#,How likely is it that you would recommend the Make School Summer Academy to a friend?,location,track,Start Date (UTC),Submit Date (UTC),Network ID,﻿ID,Location,Track,Week,Rating (Num),Schedule Pacing
"6/24/2016 7:03:58","4","2","Intro","6/24/2016 13:28:35","3","522ff7a7546272c3c98eab026e8c098a","10","Sunnyvale","summerGames","9/7/16 3:15","9/7/16 3:31","42560fe8ea","77","San Francisco","Apps","Week 1","6","A little too fast",
"6/24/2016 7:06:59","4","3","Intro","6/24/2016 13:31:45","3","80fce9f8822690ad581ff8d554e6f629","9","Sunnyvale","summerApps","9/7/16 3:41","9/7/16 3:42","b194ad4477","78","San Francisco","Apps","Week 1","6","A little too fast",
"6/24/2016 7:07:06","4","4","Games","6/24/2016 13:32:49","3","e78c696358f9c59b0375884ab9217f70","10","San Francisco","summerIntro","9/7/16 4:04","9/7/16 4:05","f8ef38e4e3","94","San Francisco","Apps, Explorer","Week 1","6","Just right",
"6/24/2016 7:08:37","4","4","Games","6/24/2016 13:34:57","3","4885e461415138a403fb0408a8060094","10","Sunnyvale","summerApps","9/7/16 4:07","9/7/16 4:10","06674df051","193","Santa Clara","Apps","Week 2","6","Just right",
"6/24/2016 7:08:51","4","3","Games","6/24/2016 13:39:47","4","bb261d3e5b4fe2197f54f28c416948e1","7","Sunnyvale","summerGames","9/7/16 4:20","9/7/16 4:21","66eb19a8df","251","San Francisco","Apps, Explorer","Week 2","6","Just right",
"6/24/2016 7:01:55","5","3","Apps","6/24/2016 13:45:39","3","391157a49dc832edb535b3c6ee3dd6a0","10","San Francisco","summerGames","9/7/16 5:41","9/7/16 5:43","c94ee250b6","254","San Francisco","Apps","Week 2","6","Way too fast",
"6/24/2016 7:03:41","5","3","Apps","6/24/2016 14:10:46","4","f4cb29dfadc30d1ca388b6f9394a1e70","9","Sunnyvale","summerApps","9/7/16 6:30","9/7/16 6:40","07b48293f4","276","Santa Clara","Apps","Week 2","6","Just right",
"6/24/2016 7:06:21","5","4","Apps","6/24/2016 14:12:14","4","3037a14bbcccee65f18b69ecc793416e","8","Sunnyvale","summerApps","9/7/16 7:55","9/7/16 7:58","258ea0eb2e","294","Washington DC","Apps","Week 1","6","Way too fast",
"6/24/2016 7:07:00","5","4","Apps","6/24/2016 14:12:35","3","3b728045b33cb55602c8587e046f45cf","5","Sunnyvale","summerGames","9/7/16 10:52","9/7/16 10:52","81e019676d","314","Redwood City","Apps","Week 3","6","A little too slow",
"6/24/2016 7:04:34","5","3","Apps","6/24/2016 13:44:44","3","323f4d88cdcde932cf651e8bb34a2785","8","Singapore","summerApps","9/7/16 11:47","9/7/16 11:49","de5aeb8e84","340","","","Week 1","6","A little too slow",
"6/24/2016 7:08:15","5","3","Apps","6/24/2016 13:45:54","3","772d72050174a2e730183600b5b3e1bf","9","Singapore","summerApps","9/7/16 9:16","9/7/16 12:26","58089eb896","347","New York City","Games","Week 1","6","A little too fast",
"6/24/2016 7:12:49","5","4","Apps","6/24/2016 13:49:54","3","fa299e5db39696d38eafd4ae6e71aebb","9","Singapore","summerApps","9/7/16 12:26","9/7/16 12:26","58089eb896","349","New York City","Apps","Week 1","6","Just right",
"6/24/2016 7:03:41","5","3","Apps","6/24/2016 13:50:04","2","35d559a3756563f795c0e9e81299695e","10","San Francisco","summerApps","9/7/16 12:45","9/7/16 12:48","0b7b124ce3","397","Santa Clara","Games","Week 3","6","Way too slow",
"6/24/2016 7:03:58","5","4","Apps","6/24/2016 13:50:19","3","2a42f27c8a19a165f37439cfd9fed33d","10","New York","summerIntro","9/7/16 13:09","9/7/16 13:10","32c6661877","429","Santa Clara","Apps","Week 3","6","Just right",
"6/24/2016 7:04:09","5","3","Apps","6/24/2016 13:51:46","3","1e19d356f6f8eac878413ec736e46da8","9","San Francisco","summerApps (4-week)","9/7/16 14:39","9/7/16 14:40","75a5cf3cee","438","San Francisco","Apps, Explorer","Week 3","6","Just right",
"6/24/2016 7:04:11","5","3","Apps","6/24/2016 13:53:22","2","a8497fc472b7a09ac6e16e658851d652","10","New York","summerApps","9/7/16 14:52","9/7/16 14:54","5a977a012b","452","San Francisco","Apps","Week 3","6","Way too fast",
